Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,days_post_drug,drug_dose,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7634495,RNA-Seq,75,441037725,PRJNA484003,SAMN09755602,183726785,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 µM,SRX4498216,GSM3317135,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317135,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634496,RNA-Seq,75,378450750,PRJNA484003,SAMN09755612,147845716,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 µM,SRX4498217,GSM3317136,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317136,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634497,RNA-Seq,75,471751425,PRJNA484003,SAMN09755611,198435152,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 µM,SRX4498218,GSM3317137,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317137,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634498,RNA-Seq,75,717757950,PRJNA484003,SAMN09755610,278839339,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 µM,SRX4498219,GSM3317138,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317138,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634499,RNA-Seq,75,410749125,PRJNA484003,SAMN09755601,173728629,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 µM,SRX4498220,GSM3317139,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317139,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634500,RNA-Seq,75,652840275,PRJNA484003,SAMN09755600,252824082,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 µM,SRX4498221,GSM3317140,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317140,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634501,RNA-Seq,75,392450175,PRJNA484003,SAMN09755599,164247631,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 µM,SRX4498222,GSM3317141,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317141,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634502,RNA-Seq,75,386895450,PRJNA484003,SAMN09755614,151075813,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 µM,SRX4498223,GSM3317142,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317142,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634503,RNA-Seq,75,498379125,PRJNA484003,SAMN09755613,207390439,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0.09 µM,SRX4498224,GSM3317143,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317143,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634504,RNA-Seq,75,494986425,PRJNA484003,SAMN09755609,193831454,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0.09 µM,SRX4498225,GSM3317144,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317144,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634505,RNA-Seq,75,425918625,PRJNA484003,SAMN09755608,177209672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0.09 µM,SRX4498226,GSM3317145,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317145,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634506,RNA-Seq,75,319660200,PRJNA484003,SAMN09755607,125349980,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0.09 µM,SRX4498227,GSM3317146,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317146,H37Rv Mycobacterium tuberculosis,SRP156048
SRR7634507,RNA-Seq,75,1574552700,PRJNA484003,SAMN09755606,652154318,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0.09 µM,SRX4498228,GSM3317147,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3317147,H37Rv Mycobacterium tuberculosis,SRP156048
