Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,days_post_drug,ethambutol_dose,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7642039,RNA-Seq,75,410063175,PRJNA484385,SAMN09764031,172798612,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4505474,GSM3318399,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318399,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642040,RNA-Seq,75,728988600,PRJNA484385,SAMN09764030,302604002,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4505475,GSM3318400,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318400,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642041,RNA-Seq,75,665010825,PRJNA484385,SAMN09764012,279789084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4505476,GSM3318401,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318401,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642042,RNA-Seq,75,824647350,PRJNA484385,SAMN09764025,342906128,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4505477,GSM3318402,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318402,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642043,RNA-Seq,75,606366600,PRJNA484385,SAMN09764024,254281347,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4505478,GSM3318403,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318403,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642044,RNA-Seq,75,651623025,PRJNA484385,SAMN09764023,271777453,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4505479,GSM3318404,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318404,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642045,RNA-Seq,75,966307350,PRJNA484385,SAMN09764022,408139459,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4505480,GSM3318405,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318405,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642046,RNA-Seq,75,712370325,PRJNA484385,SAMN09764021,295986841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4505481,GSM3318406,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318406,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642047,RNA-Seq,75,997790850,PRJNA484385,SAMN09764020,416810584,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,2.45 uM,SRX4505482,GSM3318407,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318407,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642048,RNA-Seq,75,776698125,PRJNA484385,SAMN09764019,322419638,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,2.45 uM,SRX4505483,GSM3318408,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318408,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642049,RNA-Seq,75,499871325,PRJNA484385,SAMN09764018,212036768,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,2.45 uM,SRX4505484,GSM3318409,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318409,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642050,RNA-Seq,75,715201800,PRJNA484385,SAMN09764017,296081249,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,2.45 uM,SRX4505485,GSM3318410,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318410,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642051,RNA-Seq,75,867019425,PRJNA484385,SAMN09764016,363262855,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,2.45 uM,SRX4505486,GSM3318411,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318411,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642052,RNA-Seq,75,701352975,PRJNA484385,SAMN09764015,290199891,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,2.45 uM,SRX4505487,GSM3318412,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318412,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642053,RNA-Seq,75,646809900,PRJNA484385,SAMN09764014,268378066,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,2.45 uM,SRX4505473,GSM3318413,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318413,H37Rv Mycobacterium tuberculosis,SRP156287
SRR7642054,RNA-Seq,75,772740825,PRJNA484385,SAMN09764013,322697980,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,2.45 uM,SRX4505488,GSM3318414,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318414,H37Rv Mycobacterium tuberculosis,SRP156287
